Rank,Team
300,Southeastern La.
301,Prairie View
302,Radford
303,Air Force
304,Army West Point
305,East Carolina
306,Jacksonville St.
307,UTSA
308,Bucknell
309,Lehigh
310,Saint Peter's
311,Bryant
312,Northwestern St.
313,New Haven
314,IU Indy
315,NIU
316,Manhattan
317,UMass Lowell
318,Southern Ind.
319,CSU Bakersfield
320,Mercyhurst
321,Longwood
322,Chicago St.
323,Mount St. Mary's
324,Central Mich.
325,North Dakota
326,Alcorn
327,UAlbany
328,Canisius
329,Maine
330,New Hampshire
331,Georgia St.
332,Eastern Ill.
333,North Florida
334,VMI
335,UMES
336,Southern Utah
337,Stetson
338,Lafayette
339,Florida A&M
340,NJIT
341,Texas Southern
342,Stonehill
343,Ball St.
344,Kansas City
345,Cleveland St.
346,N.C. Central
347,ULM
348,Loyola Chicago
349,Little Rock
350,Loyola Maryland
351,Jackson St.
352,Delaware St.
353,Western Ill.
354,Louisiana
355,Niagara
356,FDU
357,The Citadel
358,Morgan St.
359,Gardner-Webb
360,Saint Francis
361,Binghamton
362,Rider
363,South Carolina St.
364,Coppin St.
365,Mississippi Val.
