Rank,Team
316,Lafayette
317,West Georgia
318,Eastern Illinois
319,North Carolina A&T
320,Loyola Chicago
321,Louisiana
322,Cleveland St.
323,Central Michigan
324,Albany
325,Florida A&M
326,Air Force
327,Arkansas Pine Bluff
328,Prairie View A&M
329,Southern Utah
330,Alcorn St.
331,Mercyhurst
332,Southern Indiana
333,Little Rock
334,VMI
335,Army
336,Georgia St.
337,New Hampshire
338,North Florida
339,Chicago St.
340,Stonehill
341,Canisius
342,North Dakota
343,New Haven
344,Maryland Eastern Shore
345,IU Indy
346,UMKC
347,NJIT
348,Stetson
349,Loyola MD
350,Rider
351,North Carolina Central
352,Delaware St.
353,Louisiana Monroe
354,Western Illinois
355,Maine
356,Saint Francis
357,Niagara
358,The Citadel
359,Binghamton
360,Fairleigh Dickinson
361,Morgan St.
362,South Carolina St.
363,Gardner Webb
364,Coppin St.
365,Mississippi Valley St.
