Rank,Team
162,Massachusetts
163,Washington St.
164,Quinnipiac
165,Youngstown St.
166,UT Arlington
167,Colgate
168,Kennesaw St.
169,Cornell
170,Oregon St.
171,Fresno St.
172,Montana St.
173,Elon
174,Florida Gulf Coast
175,Robert Morris
176,Iona
177,FIU
178,Louisiana Tech
179,Saint Joseph's
180,Incarnate Word
181,UT Rio Grande Valley
182,South Alabama
183,Charleston
184,Indiana St.
185,South Dakota St.
186,Austin Peay
187,Portland St.
188,San Jose St.
189,Illinois Chicago
190,Southern Miss
191,UC Davis
192,James Madison
193,Ohio
194,Northern Kentucky
195,Stony Brook
196,Idaho
197,Tarleton St.
198,Vermont
199,Valparaiso
200,Queens
201,Charlotte
202,Navy
203,Buffalo
204,Fordham
205,LIU
206,Montana
207,Harvard
208,Weber St.
209,Rice
210,Tulane
211,Southern
212,Northeastern
213,CSUN
214,Eastern Michigan
215,Old Dominion
216,Portland
217,Dartmouth
218,Campbell
219,Abilene Christian
220,Texas A&M Corpus Chris
221,Chattanooga
222,Southeast Missouri
223,Brown
224,SIUE
225,UTEP
226,New Orleans
227,Coastal Carolina
228,Norfolk St.
229,Wofford
230,Bethune Cookman
231,Purdue Fort Wayne
232,Monmouth
233,American
234,Hampton
235,Georgia Southern
236,Eastern Washington
237,North Alabama
238,Tennessee St.
239,UNC Asheville
240,Cal Poly
241,Texas St.
242,Tennessee Martin
243,Milwaukee
244,Nebraska Omaha
245,Cal St. Fullerton
246,Central Connecticut
247,Radford
248,Samford
249,Central Arkansas
250,Lindenwood
251,Penn
252,Utah Tech
253,San Diego
254,Appalachian St.
255,Lamar
256,Western Michigan
257,Jacksonville St.
258,USC Upstate
259,UC Riverside
260,Nicholls
261,Alabama St.
262,Long Beach St.
263,La Salle
264,Tennessee Tech
265,Presbyterian
266,Charleston Southern
267,Eastern Kentucky
268,Delaware
269,Princeton
270,Missouri St.
271,South Dakota
272,Northern Arizona
273,Green Bay
274,Houston Christian
275,Alabama A&M
276,Sacramento St.
277,Western Carolina
278,Merrimack
279,Sacred Heart
280,Grambling St.
281,Evansville
282,Bellarmine
283,Pepperdine
284,UTSA
285,Southeastern Louisiana
286,UMBC
287,Howard
288,East Carolina
289,UNC Greensboro
290,East Texas A&M
291,Oral Roberts
292,Northwestern St.
293,Detroit Mercy
294,Fairfield
295,Saint Peter's
296,UMass Lowell
297,Boston University
298,Drexel
299,Jacksonville
300,Denver
301,Mount St. Mary's
302,Bucknell
303,Lehigh
304,Bryant
305,North Carolina A&T
306,Prairie View A&M
307,Le Moyne
308,West Georgia
309,Loyola Chicago
310,Morehead St.
311,Southern Indiana
312,Wagner
313,Longwood
314,Holy Cross
315,Cal St. Bakersfield
316,Southern Utah
317,Northern Illinois
318,Ball St.
319,Albany
320,Cleveland St.
321,Central Michigan
322,Air Force
323,Manhattan
324,Lafayette
325,Texas Southern
326,Jackson St.
327,Little Rock
328,Alcorn St.
329,VMI
330,Eastern Illinois
331,Mercyhurst
332,Georgia St.
333,North Florida
334,New Hampshire
335,Louisiana
336,Army
337,North Dakota
338,Loyola MD
339,Canisius
340,Maine
341,New Haven
342,Maryland Eastern Shore
343,Stetson
344,Florida A&M
345,Stonehill
346,Kansas City
347,Arkansas Pine Bluff
348,IU Indy
349,Chicago St.
350,North Carolina Central
351,Rider
352,Western Illinois
353,NJIT
354,Delaware St.
355,Louisiana Monroe
356,Niagara
357,Fairleigh Dickinson
358,Binghamton
359,The Citadel
360,Morgan St.
361,Saint Francis
362,Gardner Webb
363,South Carolina St.
364,Coppin St.
365,Mississippi Valley St.
